"titre","auteur","abonnement","commentaire","localite","metteurenscene","date"
Le plus heureux des  Trois,Eugène Labiche,0,,MCA,Yves Dath,"1983-09-01 00:00:00"
Premier Cabaret,Yves Dath,0,"",MCA,Yves Dath,"1984-01-01 00:00:00"
Deuxième  Cabaret,Yves Dath,0,,MCA,Yves Dath,"1984-09-01 00:00:00"
Madame Sans Gênes,Victorien Sardou et Émile Moreau,0,,MCA,Yves Dath,"1985-01-01 00:00:00"
Troisième  Cabaret,Yves Dath,0,,MCA,Yves Dath,"1985-09-01 00:00:00"
Un fil à la patte,Georges Feydeau,0,,MCA,Yves Dath,"1986-01-01 00:00:00"
Une rose au petit déjeuner,Pierre Barillet,0,,MCA,Yves Dath,"1986-09-01 00:00:00"
Strophes pour se souvenir,Louis Aragon,0,"",MCA,Yves Dath,"1986-09-02 00:00:00"
Quatrième Cabaret,Yves Dath,0,,MCA,Yves Dath,"1987-01-01 00:00:00"
Trois pièces en un acte,Guy Foissy,0,,MCA,Yves Dath,"1987-01-02 00:00:00"
De doux dingues,...,0,,MCA,Yves Dath,"1987-09-01 00:00:00"
Cinquième Cabaret,Yves Dath,0,,MCA,Yves Dath,"1987-09-01 00:00:00"
Miracle en Alabama,...,0,,MCA,Yves Dath,"1988-01-01 00:00:00"
Match,...,0,,MCA,Yves Dath,"1988-09-01 00:00:00"
Sixième Cabaret,Yves Dath,0,,MCA,Yves Dath,"1988-09-01 00:00:00"
Le Dindon,...,0,,MCA,Yves Dath,"1989-01-01 00:00:00"
Diable d'homme,...,0,,MCA,Yves Dath,"1989-01-01 00:00:00"
Huit femmes,...,0,,MCA,Yves Dath,"1989-09-01 00:00:00"
Septième Cabaret,Yves Dath,0,,MCA,Yves Dath,"1989-09-01 00:00:00"
Les Trois Mousquetaires,...,0,,MCA,Yves Dath,"1990-01-01 00:00:00"
Caviar et Lentilles,...,0,,MCA,Yves Dath,"1990-09-01 00:00:00"
Huitième Cabaret,Yves Dath,0,,MCA,Yves Dath,"1990-09-01 00:00:00"
Mr et Mme Molière,...,0,,MCA,Yves Dath,"1991-01-01 00:00:00"
Le Fil Rouge,...,0,,MCA,Yves Dath,"1991-09-01 00:00:00"
Neuvième Cabaret,Yves Dath,0,,MCA,Yves Dath,"1991-09-01 00:00:00"
La Damede chez Maxim,...,0,,MCA,Yves Dath,"1992-01-01 00:00:00"
Une drôle devie,...,0,,MCA,Yves Dath,"1992-09-01 00:00:00"
Le saut du lit,...,0,,MCA,Yves Dath,"1992-09-01 00:00:00"
Dixième Cabaret,Yves Dath,0,,MCA,Yves Dath,"1993-01-01 00:00:00"
Les Misérables,...,0,,MCA,Yves Dath,"1993-01-01 00:00:00"
Amadeus,...,0,,MCA,Yves Dath,"1993-09-01 00:00:00"
Blaise,...,0,,MCA,Yves Dath,"1993-09-01 00:00:00"
Un meurtre est annoncé,...,0,,MCA,Yves Dath,"1994-01-01 00:00:00"
Antigone,...,0,,MCA,Yves Dath,"1994-09-01 00:00:00"
Trois pièces en acte de Feydeau,...,0,,MCA,Yves Dath,"1994-09-01 00:00:00"
Qu'est-ce qui fait courir un comédien?,...,0,,MCA,Yves Dath,"1995-01-01 00:00:00"
L'affaire du courrier de Lyon,...,0,,MCA,Yves Dath,"1995-01-01 00:00:00"
L'éventail,Carlo Goldoni,0,,MCA,Yves Dath,"1995-09-01 00:00:00"
Histoires à lire debout,Jean-Paul Alègre,0,,MCA,Yves Dath,"1995-09-01 00:00:00"
Premier Cabaret des Vieux Huit,Yves Dath,0,,MCA,Yves Dath,"1996-01-01 00:00:00"
Roméo et Juliette,...,0,,MCA,Yves Dath,"1996-01-01 00:00:00"
"12 Jurés en colère",Reginald Rose,0,,MCA,Yves Dath,"1996-09-01 00:00:00"
Une rose au petit déjeuner,Pierre Barillet & Jean-Pierre Grédy,0,,MCA,Yves Dath,"1996-09-01 00:00:00"
Histoires et Paroles,Jacques Prévert,0,,MCA,Yves Dath,"1996-09-01 00:00:00"
L'art d'aimer,Ovide,0,,MCA,Yves Dath,"1997-01-01 00:00:00"
Calamity Jane,Jean-Noël Fenwick,0,,MCA,Yves Dath,"1997-01-01 00:00:00"
Interdit au public,...,0,,MCA,Yves Dath,"1997-09-01 00:00:00"
Sens dessus-dessous,...,0,,MCA,Yves Dath,"1997-09-01 00:00:00"
L'enseigneur,...,0,,MCA,Yves Dath,"1997-09-01 00:00:00"
Cabaret 1998,Yves Dath,0,,MCA,Yves Dath,"1998-01-01 00:00:00"
Cyrano de Bergerac,Edmond Rostand,0,,MCA,Yves Dath,"1998-01-01 00:00:00"
Contre X,...,0,,MCA,Yves Dath,"1998-09-01 00:00:00"
"J'y suis, j'y reste",...,0,,MCA,Yves Dath,"1998-09-01 00:00:00"
Blanche Maupas,...,0,,MCA,Yves Dath,"1998-09-01 00:00:00"
L'enseigneur,...,0,,MCA,Yves Dath,"1999-01-01 00:00:00"
Le Bourgeois Gentilhomme,...,0,,MCA,Yves Dath,"1999-01-01 00:00:00"
Une aspirine pourdeux,...,0,,MCA,Yves Dath,"1999-09-01 00:00:00"
Photos de famille,Jean-Pierre Dopagne,0,,MCA,Yves Dath,"1999-09-01 00:00:00"
L'oiseau bleu,Maurice Maeterlinck,0,,MCA,Yves Dath,"1999-09-01 00:00:00"
Cabaret 2000,Yves Dath,0,,MCA,Yves Dath,"2000-01-01 00:00:00"
Les Suisses,Pierre Aristide Bréal,0,,MCA,Yves Dath,"2000-01-01 00:00:00"
